stars_list,avg_rating,num_movies,rating_class,relative_freq,weighted_score
Robert Ryan,0.6339622641509435,53,1,0.011326456251028464,0.0071805458497086125
Benedict Cumberbatch,0.7013207547169812,53,1,0.011326456251028464,0.007943478846240151
Barbara Stanwyck,0.6446153846153847,52,1,0.011112749529310946,0.007163449311971211
Tabitha St. Germain,0.5846153846153845,52,0,0.011112749529310946,0.006496684340212552
Don Cheadle,0.6173076923076923,52,1,0.011112749529310946,0.006859985767132334
Christian Bale,0.6686538461538463,52,1,0.011112749529310946,0.007430582714118108
Jessica Chastain,0.6386538461538461,52,1,0.011112749529310946,0.007097200228238778
Cillian Murphy,0.675,52,1,0.011112749529310946,0.007501105932284889
Raymond Burr,0.5892307692307692,52,0,0.011112749529310946,0.006547973953424757
Gregory Peck,0.6526923076923077,52,1,0.011112749529310946,0.007253206135092567
Randy Orton,0.6271153846153846,52,1,0.011112749529310946,0.006968976195208268
Anil Kapoor,0.5492307692307692,52,0,0.011112749529310946,0.0061034639722523185
Nick Nolte,0.6028846153846154,52,0,0.011112749529310946,0.006699705725844195
Will Smith,0.5905769230769231,52,0,0.011112749529310946,0.006562933423944984
Kathy Bates,0.6162745098039215,51,1,0.010899042807593427,0.006716802263581596
Stephen Dorff,0.5429411764705883,51,0,0.010899042807593427,0.005917539124358079
Charles Chaplin,0.6592156862745098,51,1,0.010899042807593427,0.007184819984142961
Jack Lemmon,0.6609803921568628,51,1,0.010899042807593427,0.007204053589097538
Jon Voight,0.5550980392156862,51,0,0.010899042807593427,0.006050037291822939
Stellan Skarsgård,0.6462745098039215,51,1,0.010899042807593427,0.007043773547809399
James Garner,0.6531372549019608,51,1,0.010899042807593427,0.007118570900410531
Amy Adams,0.6386274509803922,51,1,0.010899042807593427,0.0069604279263395675
Adam Copeland,0.6454901960784314,51,1,0.010899042807593427,0.007035225278940699
Dustin Hoffman,0.6607843137254903,51,1,0.010899042807593427,0.007201916521880364
Tom Hardy,0.651764705882353,51,1,0.010899042807593427,0.007103611429890305
Liev Schreiber,0.6768627450980392,51,1,0.010899042807593427,0.007377156033688728
Jun Fukuyama,0.7080392156862745,51,1,0.010899042807593427,0.007716949721219581
Don 'Red' Barry,0.5205882352941177,51,0,0.010899042807593427,0.005673913461600108
Richard Gere,0.5880392156862746,51,0,0.010899042807593427,0.0064090645843083716
Adrien Brody,0.5954901960784313,51,0,0.010899042807593427,0.006490273138561027
Max Terhune,0.556078431372549,51,0,0.010899042807593427,0.006060722627908815
Jack Oakie,0.5888235294117647,51,0,0.010899042807593427,0.006417612853177071
Luci Christian,0.6734,50,1,0.010685336085875909,0.007195505320228837
Sharon Stone,0.5428000000000001,50,0,0.010685336085875909,0.005800000427413444
George O'Brien,0.5644,50,0,0.010685336085875909,0.006030803686868363
David Arquette,0.5646,50,0,0.010685336085875909,0.0060329407540855385
Gilbert Roland,0.5589999999999999,50,0,0.010685336085875909,0.005973102872004633
